id,name,actor,system,auto_grade,auto_rationale
w1,File evaluation request,TCB business team,bank terminal or integrated platform,full,This task involves straightforward data entry that can be fully automated.
w2,Check applicant company's basic information,TCB business team,[MISSING],manual,This task requires human judgment to verify the accuracy of the information.
w3,Email upload link for document submission,TCB business team,integrated platform,full,This task involves sending a standard email which can be automated.
w4,Collect financial statements and documents,system,[MISSING],full,This task can be fully automated as it involves data scraping.
w5,Upload company profile and product catalog,TCB business team,[MISSING],manual,This task requires manual input and cannot be automated.
w6,Fill in technology summary sheet,TCB business team,integrated platform,partial,"This task can be partially automated, but requires human input for completion."
w7,Assign on-site or phone inspector,ECN,[MISSING],partial,This task involves decision-making based on criteria that can be partially automated.
w8,Collect missing documents,inspector,[MISSING],manual,This task requires physical presence and human interaction.
w9,Write and upload inspection report,inspector,inspection system,partial,"This task can be partially automated, but requires human judgment for writing."
w10,Assign evaluator,system,[MISSING],full,This task can be fully automated as it involves random assignment.
w11,Check application information and documents,evaluator,[MISSING],partial,This task requires human judgment to assess completeness.
w12,Issue supplementary request,evaluator,[MISSING],partial,This task requires human judgment to determine what is missing.
w13,Start investigation after consent,evaluator,[MISSING],manual,This task requires human judgment and ethical considerations.
w14,Enter company profile,evaluation support team,[MISSING],full,This task involves data entry that can be fully automated.
w15,Confirm company profile,evaluation team,[MISSING],partial,This task requires human judgment to verify the accuracy of the profile.
w16,Pull data from corporate registry,system,[MISSING],full,This task can be fully automated as it involves data retrieval.
w17,Check previous technology grade,evaluator,[MISSING],manual,This task requires human judgment to interpret the grade.
w18,Assess quality of inspection materials,evaluator,[MISSING],partial,This task requires human judgment to evaluate quality.
w19,Request re-inspection,evaluator,[MISSING],partial,This task requires human judgment to determine adequacy.
w20,Carry over company information,evaluator,[MISSING],full,This task can be fully automated as it involves data transfer.
w21,Confirm technology-evaluation target industry,evaluator,[MISSING],partial,This task requires human judgment to confirm the industry.
w22,Search and select industrial-technology classification,evaluator,[MISSING],partial,This task requires human judgment to select the appropriate classification.
w23,Choose new-growth items and climate-technology classification,evaluator,[MISSING],partial,This task requires human judgment to make selections.
w24,Update financial information manually,evaluator,[MISSING],manual,This task requires manual input and cannot be automated.
w25,Write up main business areas and products,evaluator,[MISSING],partial,This task requires human judgment to articulate the business areas.
w26,Pull representative patents from KIPRIS,system,[MISSING],full,This task can be fully automated as it involves data scraping.
w27,Select patents and read published full text,evaluator,[MISSING],partial,This task requires human judgment to interpret the patent details.
w28,Enter supporting basis for patents,evaluator,[MISSING],partial,This task requires human judgment to determine the supporting basis.
w29,Generate draft technology-evaluation opinion,system,GPT,full,This task can be fully automated as it involves generating text based on input.
w30,Check on-site technology inspection items,evaluator,[MISSING],partial,This task requires human judgment to evaluate the items.
w31,Produce rule-based score,system,[MISSING],full,This task can be fully automated as it involves a straightforward calculation.
w32,Auto-generate opinions via guidance,system,[MISSING],full,This task can be fully automated as it involves generating text based on rules.
w33,Judge and select inspection items,evaluator,[MISSING],partial,This task requires human judgment to make selections.
w34,Save evaluation results,evaluator,[MISSING],full,This task involves data entry that can be fully automated.
w35,Generate technology opinion,system,GPT,full,This task can be fully automated as it involves generating text based on input.
w36,Review and edit technology opinion,evaluator,[MISSING],partial,This task requires human judgment to review and edit the generated text.
w37,Copy-paste market opinion,evaluator,[MISSING],partial,This task involves some automation but requires human judgment for finalization.
w38,Confirm and write summary and detailed opinions,evaluator,[MISSING],partial,This task requires human judgment to articulate the opinions.
w39,Confirm comprehensive evaluation grade,evaluator,[MISSING],partial,This task requires human judgment to determine the grade.
w40,Auto-generate comprehensive opinion,system,GPT,full,This task can be fully automated as it involves generating text based on input.
w41,Request review of report,evaluator,[MISSING],partial,This task requires human judgment to determine when to request a review.
w42,Assign reviewer,system,[MISSING],full,This task can be fully automated as it involves random assignment.
w43,Perform error and rule-based checks,system,[MISSING],full,This task can be fully automated as it involves systematic checks.
w44,Check qualitative items,reviewer,[MISSING],partial,This task requires human judgment to evaluate qualitative aspects.
w45,Final approval of report,evaluation team leader,[MISSING],manual,This task requires human judgment and authority for approval.
w46,Dispatch report,evaluation team leader,[MISSING],manual,This task requires human action to send the report.
